question,category,level ,answer,
What is the punishment for my kid if the smoke?,Facility & Operation,Secondary,Students can be expelled from school if they cross school regulation and law in Indonesia.,
Who is responsible for providing constant accompaniment to Early Years and Primary students throughout Binus day?,Teaching Quality,EYP,The Class Teacher (CT) and Co-Teacher (CoT) are responsible for accompanying the students at all times during school hours,
How does Binus utilize digital platforms and physical diaries to keep parents informed about Primary student assignments?,Teaching Quality,EYP,Parents use LMS to follow up on student assignments and monitor daily progress through a physical school diary,
How does Binus support EY1 students who are not yet fully independent with using the toilet?,Students Well-Being,EYP, The EY1 level includes toilet training with the goal of helping students become independent and able to express their personal needs,
How does Binus handle language exposure at this age?,Curriculum & Academic,School Wide,"In EY1, the focus is on listening and comprehension of simple English; as students progress, they are encouraged to speak it daily. Mandarin is also introduced through basic stages like greetings and colors.",
How to pick up my kids?,Facility & Operation,EYP,"During dismissal, parents need to wait outside gate B or C to pick up their kids.",
How do teachers build warm relationships with students?,Teaching Quality,School Wide,"Warm relationships are fostered by the constant presence of Class Teachers and Co-Teachers, who stay with their students throughout the entire school day",
What values does Binus prioritize in shaping students’ behavior and mindset?,Vision & Values,School Wide,"Binus prioritizes self-management, social skills, and socio-emotional development. The curriculum explicitly includes character building as a core pillar to prepare students for leadership and life beyond exams.",
How is cooperation encouraged over comparison?,Vision & Values,School Wide,The curriculum focuses on developing social skills and fostering well-being rather than competitive rankings at this early age.,
Are key documents and communications available in English or other languages?,Vision & Values,School Wide,"Most key documents, including Binus handbooks and Frequently Asked Questions, are available in English.",
How does Binus ensure teachers are role models?,Teaching Quality,School Wide,The academic calendar includes dedicated Professional Development Days for teachers throughout the year.,
How do teachers communicate daily progress to parents?,Teaching Quality,School Wide,"Each class has class parent representative to communicate about what happen in the class, parents and teacher also can communicate via email or Microsoft Teams chat",
"How are hygiene, cleanliness, and toileting handled?",Facility & Operation,EYP,"We are collaborating with ISS, the facility management company who ensure the cleanliness our building",
What extracurricular activities are offered at primary level?,Facility & Operation,School Wide,"Binus offers a wide variety of clubs and electives including Robotics, Swimming, Basketball, Soccer, Guitar, Coding (starting Grade 4), and Traditional Dance.",
How does Binus prevent bullying and harassment?,Students Well-Being,School Wide,"Binus integrates ROOTS Programme, Socio-Emotional Learning (SEL), Values Education, and Character Building across its curriculum to foster a positive environment. Additionally, for Primary students, Class Teachers (CT) and Co-Teachers (CoT) accompany the students at all times.",
Can my kid play at school after dismissal?,Facility & Operation,EYP,"After dismissal time, students are encourage to directly going home rather than strolling around school premises.",
What does a typical daily timetable look like for EY1?,Curriculum & Academic,EYP,"The day is divided into morning sessions, a designated recess period, and mid-day lessons from 8.30 to 11.50.",
"How does Binus prepare students not just for exams, but for life and leadership?",Vision & Values,Secondary,Students are prepared for life through Industry-Based Learning experiences and a curriculum that emphasizes 21st-century skills such as research and critical thinking. Leadership is cultivated through Primary Student Council workshops and participation in international leadership summits in Secondary years.,
How does Binus help parents understand local education pathways?,Curriculum & Academic,School Wide,"Binus offers a dual curriculum approach, integrating the National Curriculum (Merdeka) alongside Cambridge standards. Counselors provide guidance on local paths, including direct university entry.",
What if my kid lose something?,Facility & Operation,School Wide,Students are encourage to be responsible and keep save their own belonging.,
When students need to wake up everyday?,Facility & Operation,School Wide,"Secondary students timetable start at 7.10, while primary start at 7.45, and EY start at 8.30, students can adjust their wake up time with their home distant to school.",
How does Binus build ethical leadership and integrity?,Vision & Values,Secondary,"Ethical leadership is built into the core curriculum through a persistent focus on Socio-Emotional Learning (SEL), Values Education, and Character Building at all levels. Leadership skills are further cultivated through Primary Student Council workshops and participation in high-level summits such as the International Young Leaders Summit (IYLS) and the Asia-Pacific Young Leaders Summit.",
Is shalat (prayer) performed during school hours? How is it supervised?,Vision & Values,School Wide,"Yes, Binus has a Mushola facility for prayers. Specific sessions like ""Shalat Yuk!"" and ""Shalat Class"" are offered as electives and supervised by a dedicated Shalat Class Team or facilitators.",
"How are students assessed—tests, projects, observations?",Curriculum & Academic,Secondary,"Students undergo continual assessments, which specifically include performance tests and quizzes. At specific milestones, they may take the Cambridge Primary Checkpoint (Grade 6) or Cambridge AS & A Level Examinations (Grade 12). Additionally, students lead their own progress reviews through Student Led Conferences",
What are the stream available for my kids in secondary level?,Curriculum & Academic,Secondary,"There are four major streams available, AP A, AP B, AP C, and AP D stream.",
What is AP B stream?,Curriculum & Academic,Secondary,"AP B (Life Sciences & Business) stream. This stream balances laboratory sciences with an introduction to commercial studies. Stream Core Subjects: Chemistry, Biology, and Business. Syllabus Level: All three core subjects follow the IGCSE and AS Level syllabi.",
Tell me about the International Young Leaders Summit.,Curriculum & Academic,Secondary,"The International Young Leaders Summit (IYLS) is a key experiential learning opportunity for Secondary students, aligning with the school's curriculum focus on Current Affairs and International Issues.",
Are leadership programs available for students?,Curriculum & Academic,Secondary,"Yes, leadership is cultivated through the Student Council, Primary Student Council workshops, and participation in international summits like the International Young Leaders Summit (IYLS) and the Asia-Pacific Young Leaders Summit.",
What commitments does Binus expect from parents?,Teaching Quality,School Wide,"Parents are expected to monitor student progress through a school diary and access MS Teams to follow up on assignments. For young children, Binus expects communication and collaboration during the adaptation period. Parents also coordinate among themselves for catering/lunch arrangements.",
How does Binus support toddlers experiencing major environmental change?,Students Well-Being,EYP,The EY1 level is specifically designed to focus on socialization and readiness for Binus routine. Class sizes are capped at 24 students to ensure personalized attention.,
"What is Binus’s vision and mission, and how are these reflected in daily practice?",Vision & Values,School Wide,"The overarching theme is ""Fostering and Empowering Society in Building and Serving the Nation"". This is reflected in daily practice through a strong focus on character building and preparing students with 21st-century skills like critical thinking and research",
Can my child drive her/his own vehicle to school?,Facility & Operation,Secondary,Students are not allowed to drive by themselves to school although they have the license.,
How do children learn responsibility naturally?,Vision & Values,School Wide,"Children learn responsibility through a curriculum focus on self-management skills. In the Early Years, independence is encouraged naturally through routines like toilet training, where students are expected to become independent and express their needs.",
How my kid take a shower after Swimming Lesson?,Facility & Operation,EYP,There will teacher and helper to help EY students taking a shower after swimming lesson.,
What is AP D stream?,Curriculum & Academic,Secondary,"AP D (Commerce & Economics) stream. This stream is tailored for students interested in finance, accounting, and economic theory. Stream Core Subjects: Business, Accountings, and Economics. Syllabus Level: All core subjects in this stream follow the IGCSE and AS Level syllabi.",
What is the indoor discovery area for younger students?,Facility & Operation,EYP,"Like the outdoor version provided for Early Years students (which includes tools for sensory play and exploration), the indoor discovery area provides a controlled environment for children to develop social and self-management skills through hands-on activities.",
What subject in grade 10?,Curriculum & Academic,Secondary,"all Grade 10 students take the following subjects: Chinese Language, ICT, Music, Visual Arts, Physical Education,  PABP (Religion) and PPKN (Civics), Bahasa Indonesia (KN), English Language (IGCSE-EFL), and Mathematics (IGCSE)",
How does Binus ensure smooth developmental transitions year to year?,Curriculum & Academic,School Wide,"Transitions are supported through specific programs: EY1 serves as a transition period to introduce routines, socialization, and school readiness. For older students, Binus conducts Transition Programmes for Grades 7 and 10, as well as a Transition Camp specifically for Grade 6.",
"How does Binus ensure consistency of values across Early Years, Primary, and Secondary levels?",Teaching Quality,School Wide,"Consistency is maintained by making Socio-Emotional Learning and Character Building core curriculum pillars from EY through Grade 12. Additionally, subjects like Agama (Religion) and Pendidikan Pancasila are taught consistently across all three levels to reinforce shared values.",
How do teachers help children develop early self-regulation?,Teaching Quality,School Wide,"Teachers help develop self-management skills as a primary curriculum focus. This includes practical independence milestones, such as toilet training in EY1, where students are encouraged to express their needs and become more independent.",
How does Binus ensure our children do not feel isolated as newcomers?,Students Well-Being,EYP,The Early Childhood curriculum explicitly focuses on developing social skills. Guidance Counselors and teachers are available to assist with the settling-in process.,
What religion lessons in BINUS?,Curriculum & Academic,School Wide,"In Binus we have Islamic studies, Buddhism, Catholicism, Christianity, and Hinduism.",
How does Binus teach responsible use of technology and media?,Curriculum & Academic,School Wide,"Binus includes ICT (Information and Communication Technology) as a core subject in the Lower Secondary curriculum. Furthermore, the Upper Secondary curriculum places a strong emphasis on current affairs and international issues, which involves engaging with various media sources.",
What language support is available for students who are still adapting?,Curriculum & Academic,School Wide,"For students who find Bahasa Indonesia or study habits challenging, Binus may suggest taking extra courses. In EY1, children are initially expected only to ""listen and understand"" instructions rather than speak fluently.",
What safety measures are in place for toddlers?,Facility & Operation,EYP,Toddlers are protected by the constant supervision of Class Teachers and Co-Teachers who stay with them throughout the day. ,
How does Binus prepare students for adult responsibility?,Curriculum & Academic,Secondary,"Students are prepared for adulthood through leadership workshops, community service through the Student Council, and a curriculum designed to give them a competitive edge in the global job market.",
How do children learn to respect differences?,Vision & Values,School Wide,"Respect for differences is fostered through a curriculum that prioritises Socio-Emotional Learning, SPIRIT Values, and Character Building at all levels. Students in Primary years are taught an awareness and appreciation of local language and culture, while religion education (PABP) for five religions begins as early as EY1. Secondary students build on this foundation through a strong emphasis on current affairs and international issues.",
Is there science lab for primary students?,Facility & Operation,EYP,There is science lab for primary students. They use the lab during science lesson.,
"My kids is twin, can they be separated?",Facility & Operation,School Wide,Twins students can be separated however it depends on how many classes in the level she/he enrolled to.,
What accreditations or certifications does Binus hold (national/international)?,Vision & Values,School Wide,Binus is a Cambridge International School. Accreditated B as Nasional.,
How do teachers encourage effort without forcing competition?,Teaching Quality,School Wide,"While students are recognized for achievements, such as in the TOPAZ Olympiad, the broader curriculum focus remains on Values Education, Character Building, and Socio-Emotional Learning to encourage personal growth.",
What curriculum is used at the primary level?,Curriculum & Academic,EYP,"The Primary level uses the Cambridge International Curriculum and the Kurikulum Merdeka. Students can also take the Cambridge Primary Checkpoint in Grade 6 to assess their standing in English, Math, and Science.",
Bagaimana cara BINUS mengajarkan fokus pada anak kecil mengingat saat ini konsentrasi anak mudah terganggu?,Curriculum & Academic,EYP,Focus is built through daily Circle Time and scheduled CARE Sessions.,
How does Binus respect different spiritual or philosophical backgrounds?,Vision & Values,School Wide,"Binus respects diversity by offering PABP (Religious Education) subjects for five different religions: Islam, Catholicism, Christianity, Buddhism, and Hinduism. Binus community collectively celebrates religious milestones, including Christmas, Kathina Puja, Ramadan (Buka Puasa Bersama), and Hari Raya Galungan.",
"How do you build trust between school, child, and parents?",Teaching Quality,School Wide,"Trust is established through trial classes observed by psychologists to ensure a child's readiness before enrollment. Binus further strengthens this bond by involving parents in Student Led Conferences, providing transparency through continual assessments, and encouraging parents to monitor school diaries and MS Teams",
Is there any extra lesson for student who to study overseas?,Curriculum & Academic,Secondary,"For students specifically interested in studying abroad, teachers provide extra classes to help them prepare specifically for the Cambridge A-Level Exam",
Can my kid use white color shoes?,Facility & Operation,EYP,"Black shoes is part of school uniform, students may wear color sport shoes during PE and change to black after that.",
Are meals/snacks provided? Are they halal?,Facility & Operation,School Wide,"Cafeteria provides halal meals for students to be purchased, however for EYP students, we encourage them to bring it from home",
How does Binus support identity development during early adolescence?,Students Well-Being,Secondary,"The secondary curriculum explicitly focuses on Socio-Emotional Learning (SEL), Values Education, and Character Building. Students also participate in global platforms like the International Young Leaders Summit (IYLS) and the Asia-Pacific Young Leaders Summit, which encourage them to develop their leadership identity.",
What specific subjects are included in the Cambridge Primary Checkpoint examinations for Grade 6 students?,Curriculum & Academic,EYP,"The Grade 6 Checkpoint exams include Mathematics, English Language, and Science",
How does Binus help children adjust to a new culture and social norms?,Students Well-Being,EYP,The curriculum includes Awareness and Appreciation of Local Language & Culture. Cultural appreciation is also fostered through activities like National Culture Week (Pekan Budaya Nusantara) and celebrations of various religious holidays.,
How does Binus ensure continuity when students move between levels?,Teaching Quality,School Wide,"Continuity is managed through a 6-year direct programme for Secondary students and specific transition initiatives, including the Grade 7 and 10 Transition Programme and the Grade 6 Transition Camp.",
Is students learning python?,Curriculum & Academic,Secondary,Secondary students learning python in IDP Lesson.,
How do you prepare children for future stages without rushing them?,Curriculum & Academic,School Wide,"Binus uses transitional levels, such as EY1, to focus on socialisation and routine readiness before students enter more formal kindergarten classes. Readiness is prioritised; if a child is not yet prepared for a higher level, Binus may recommend staying in a lower level after a trial class assessment. o prepare Primary students for Secondary, Binus uses the Cambridge Checkpoint to assess where they are currently, ensuring a smooth transition based on their actual standing.",
How is attachment built between teachers and children?,Students Well-Being,EYP,Teachers and Co-Teachers (CT and CoT) accompany students all the time during school hours to provide constant support.,
How are Islamic values maintained as students become more independent?,Vision & Values,Secondary,"islamic Values: These are maintained through Agama (Religion) education, which is mandatory from EY1 through Grade 12. Additionally, Binus provides specific Islamic electives such as ""Ngaji Yuk!"" and ""Shalat Class"" to reinforce religious practices.",
How does Binus communicate with parents about behavioral or academic concerns?,Teaching Quality,School Wide,"Communication occurs through Binus diary, MS Teams, regular newsletters, and formal Parent Teacher Conferences.",
Are there academic counselors for subject and career guidance?,Students Well-Being,Secondary,"Yes, Guidance Counselors provide specific direction on university majors and the necessary preparations for both local and international higher education.",
How are teacher–student relationships nurtured over time?,Teaching Quality,School Wide,"Relationships are nurtured through CARE sessions with Form Teachers and daily interaction, as Class Teachers (CT) and Co-Teachers (CoT) accompany students throughout the day in younger years.",
How is physical safety ensured without creating fear?,Facility & Operation,School Wide,"Safety is maintained through orderly infrastructure such as sheltered walkways and ramp access, as well as teacher supervision. ",
Are there additional fees for elective activities?,Facility & Operation,School Wide,"There are additional fees for elective activities, which are typically structured as a yearly cost for 16 sessions. While most electives have a standard fee, certain activities have higher costs or require extra payments for materials and equipment.",
"Are children allowed to learn through play, art, and exploration?",Curriculum & Academic,EYP,"Yes, Binus provides an Indoor & Outdoor Discovery Area and specific rooms for Visual Arts and Music to facilitate exploration",
What are the developmental goals and focuses for children enrolled specifically in the EY1 level?,Curriculum & Academic,EYP,"The focus for EY1 is on socialization, introducing routines, behavior, motor skills, and school readiness. It also aims to habituate children to communicating in English",
When is elective for Upper Secondary students?,Curriculum & Academic,Secondary,Secondary (Grades 11–12): Electives are held on Wednesdays (15:00–16:30) and Clubs on Thursdays (15:10–16:10),
How does Binus introduce social interaction gently at this age?,Students Well-Being,EYP,"Social interaction is introduced through daily ""Circle Time"" and a curriculum focus on developing social skills. EY1 specifically serves as a moments for socialization and readiness before higher kindergarten levels.",
How does Binus support students applying to universities (local or overseas)?,Curriculum & Academic,Secondary,Guidance Counselors assist students in selecting majors and navigating both local and international application pathways. Binus also provides External Exam Preparation (EEP) starting in Grade 12 and offers extra classes specifically for those aiming for overseas universities to help them prepare for Cambridge A-Level exams.,
What are the different types of continual assessments used to monitor a child's progress in the Primary level?,Curriculum & Academic,EYP,A child's progress is tracked through continual assessments consisting of performance tests and quizzes,
Is there any Technology Laboratories (ICT Labs)?,Facility & Operation,School Wide,"There are two Centers for digital literacy and specialized classes like website development, 3D Animation, and robotics.",
"During Ramadan fasting, is the timetable adjust?",Curriculum & Academic,EYP,"School adjust some activities during ramadan fasting, for example, students who are fasting can visit library and musola during lunch time and recess time.",
When my kid can play in the playgroung?,Facility & Operation,EYP,Students can use playground during recess and PE.,
How does Binus handle competition while maintaining emotional balance?,Vision & Values,School Wide,"Students are encouraged to participate in various academic and talent competitions (e.g., Topaz Olympiad, Writing competitions), while being supported by Guidance Counselors (GC) and psychologists to manage adaptation and readiness.",
How does Binus introduce local social norms gently?,Vision & Values,School Wide,Local culture is introduced through subjects like Pendidikan Pancasila and specific local culture appreciation components in the curriculum.,
Is there any supervisor during swimming lesson?,Facility & Operation,School Wide,"PE teacher, class teacher and helper will supervise by the pool during swimming lesson to ensure safety for all students.",
What curriculum is used at lower secondary level?,Vision & Values,Secondary,Binus implements a blend of the Cambridge International Curriculum and the Indonesian National Curriculum (Merdeka).,
Is there another religion celebration?,Vision & Values,School Wide,"In Binus, we try our best to facilitate all religion events and celebrations.",
What is the textbook cost for Early Years?,Facility & Operation,EYP,"Textbooks: Costs range from approximately IDR 383,000 (EY1) to IDR 460,000 (EY3)",
How is language development supported?,Curriculum & Academic,EYP,"Binus provides an immersive environment where English is encouraged daily, and students are expected to listen and understand simple instructions starting in EY1. Mandarin is introduced as an additional language starting at the Early Years level with basics like greetings and numbers, and Bahasa Indonesia is included as a core subject.",
How does Binus adapt its philosophy as children mature across levels?,Students Well-Being,School Wide,"The focus shifts from socialization and motor skills in Early Years to problem solving and critical thinking in Primary, and finally to industry-based learning experiences and a strong emphasis on international issues in Secondary.",
How do you handle illness or emergencies?,Students Well-Being,School Wide, Binus is equipped with a school clinic to handle medical needs.,
What are school hours for each level?,Facility & Operation,School Wide,"EY1: 08:30 – 11:50.
    ◦ EY2 & 3: 08:30 – 13:00.
    ◦ Primary: Starts at 07:15 or 07:45; dismissal at 13:50 or 14:00 (Fridays are half-days ending at 10:45 or 11:20).",
How predictable are long-term costs across levels?,Finance,School Wide,"Binus provides estimated prices for textbooks, uniforms, activity fees, and electives for each specific grade level. Additionally, 0% credit card installment programmes are available through various banks to help manage payments.",
What is industry-based learning?,Curriculum & Academic,Secondary,"Industry-based learning is one of the core curriculum focuses for the Secondary level (Middle and High School) at the school. These experiences are designed to give students a competitive edge in the global job market, ensuring they are ""ready for the world"" upon graduation.",
Are there mentoring or counseling services available?,Students Well-Being,School Wide,"Yes, Guidance Counselors (GC) are available to assist students with emotional adaptation, academic guidance, and university preparation.",
How do you keep learning interesting and meaningful?,Curriculum & Academic,School Wide,Learning is kept meaningful through interdisciplinary learning (IDP) that connects different subjects and industry-based learning experiences at the Secondary level,
How does Binus handle separation anxiety?,Students Well-Being,EYP,"For children struggling with adaptation, parents are required to be present for the first two weeks of school. Guidance Counselors (GC) are also available to accompany and support students during this transition period.",
"What curriculum is used for Early Years (play-based, Montessori, EYFS, etc.)?",Curriculum & Academic,EYP,"The Early Years curriculum is inquiry and activity-based. It focuses on transitioning children into a school environment through socialization, routine building, and developing self-management and social skills.",
How does Binus help students manage academic pressure?,Students Well-Being,School Wide,"Binus provides comprehensive external exam preparation (EEP) starting from Grade 12. For students aiming for top universities, extra classes are provided to help them prepare for the Cambridge A-Level Examinations.",
Is there a school nurse or health officer?,Facility & Operation,School Wide,"Binus facilities include a School Clinic, though the sources do not explicitly name a specific nurse or health officer role.",
"How does Binus balance academic excellence, character development, and well-being?",Vision & Values,School Wide,"Binus integrates Cambridge international standards with a strong focus on Socio-Emotional Learning, Values Education, and character building at all levels. While maintaining academic rigor, Binus explicitly includes ""Promotes well-being"" as a primary curriculum focus in the Early Years to ensure a balanced development.",
How do you work with parents when a child needs extra care?,Students Well-Being,EYP,"If a child requires extra support during their adaptation period, parents are asked to collaborate closely with Binus, which may include being present for the first two weeks and receiving assistance from Guidance Counselors.",
