question,answer,negative
What is the punishment for my kid if the smoke?,Students can be expelled from school if they cross school regulation and law in Indonesia.,"During dismissal, parents need to wait outside gate B or C to pick up their kids."
Who is responsible for providing constant accompaniment to Early Years and Primary students throughout Binus day?,The Class Teacher (CT) and Co-Teacher (CoT) are responsible for accompanying the students at all times during school hours,"While a specific policy isn't detailed, Binus integrates regular Recess and Lunch breaks into the daily schedule to allow students to recharge. In the Primary years, Class Teachers and Co-Teachers accompany students at all times, which allows for constant monitoring of student well-being."
How does Binus utilize digital platforms and physical diaries to keep parents informed about Primary student assignments?,Parents use LMS to follow up on student assignments and monitor daily progress through a physical school diary,"Binus fosters harmony through multiple communication channels, including MS Teams for tracking assignments, school diaries for progress monitoring, and regular newsletters. Additionally, it facilitates structured interactions such as Parent Teacher Conferences (PTC) and Student Led Conferences, while Binus management and marketing teams discuss and address parental concerns brought forward by the Advisory Committee of Parents (ACOP)."
How does Binus support EY1 students who are not yet fully independent with using the toilet?, The EY1 level includes toilet training with the goal of helping students become independent and able to express their personal needs,The EY1 level is specifically designed to focus on socialization and readiness for Binus routine. Class sizes are capped at 24 students to ensure personalized attention.
How does Binus handle language exposure at this age?,"In EY1, the focus is on listening and comprehension of simple English; as students progress, they are encouraged to speak it daily. Mandarin is also introduced through basic stages like greetings and colors.","Binus provides an immersive environment where English is encouraged daily, and students are expected to listen and understand simple instructions starting in EY1. Mandarin is introduced as an additional language starting at the Early Years level with basics like greetings and numbers, and Bahasa Indonesia is included as a core subject."
How to pick up my kids?,"During dismissal, parents need to wait outside gate B or C to pick up their kids.",Toddlers are protected by the constant supervision of Class Teachers and Co-Teachers who stay with them throughout the day. 
How do teachers build warm relationships with students?,"Warm relationships are fostered by the constant presence of Class Teachers and Co-Teachers, who stay with their students throughout the entire school day","Relationships are nurtured through CARE sessions with Form Teachers and daily interaction, as Class Teachers (CT) and Co-Teachers (CoT) accompany students throughout the day in younger years."
What values does Binus prioritize in shaping students’ behavior and mindset?,"Binus prioritizes self-management, social skills, and socio-emotional development. The curriculum explicitly includes character building as a core pillar to prepare students for leadership and life beyond exams.","Discipline in the Early Years focuses on socialisation, behavior guidance, and routine building to prepare children for formal schooling. Binus emphasizes Socio-Emotional Learning and developing self-management skills as a core part of the curriculum."
How is cooperation encouraged over comparison?,The curriculum focuses on developing social skills and fostering well-being rather than competitive rankings at this early age.,"Binus encourage students to have same uniform without differentiate their religions, or nationalities."
Are key documents and communications available in English or other languages?,"Most key documents, including Binus handbooks and Frequently Asked Questions, are available in English.","English is the primary medium of instruction. Students are encouraged to use English daily, though expectations are lower for the youngest learners in EY1."
How does Binus ensure teachers are role models?,The academic calendar includes dedicated Professional Development Days for teachers throughout the year.,"Binus maintains small class capacities—a maximum of 24 students in Early Years and Primary, and 28 in Secondary—to help teachers effectively manage diverse student personalities"
How do teachers communicate daily progress to parents?,"Each class has class parent representative to communicate about what happen in the class, parents and teacher also can communicate via email or Microsoft Teams chat","Teachers appear to be open to communication through several established channels. In Primary years, parents use MS Teams to follow up on assignments and monitor progress via a school diary."
"How are hygiene, cleanliness, and toileting handled?","We are collaborating with ISS, the facility management company who ensure the cleanliness our building", The EY1 level includes toilet training with the goal of helping students become independent and able to express their personal needs
What extracurricular activities are offered at primary level?,"Binus offers a wide variety of clubs and electives including Robotics, Swimming, Basketball, Soccer, Guitar, Coding (starting Grade 4), and Traditional Dance.",Secondary (Grades 11–12): Electives are held on Wednesdays (15:00–16:30) and Clubs on Thursdays (15:10–16:10)
How does Binus prevent bullying and harassment?,"Binus integrates ROOTS Programme, Socio-Emotional Learning (SEL), Values Education, and Character Building across its curriculum to foster a positive environment. Additionally, for Primary students, Class Teachers (CT) and Co-Teachers (CoT) accompany the students at all times.","Discipline in the Early Years focuses on socialisation, behavior guidance, and routine building to prepare children for formal schooling. Binus emphasizes Socio-Emotional Learning and developing self-management skills as a core part of the curriculum."
Can my kid play at school after dismissal?,"After dismissal time, students are encourage to directly going home rather than strolling around school premises.",Parents are allowed to stay with their child during the first two weeks of school to help with the transition
What does a typical daily timetable look like for EY1?,"The day is divided into morning sessions, a designated recess period, and mid-day lessons from 8.30 to 11.50.","Secondary students timetable start at 7.10, while primary start at 7.45, and EY start at 8.30, students can adjust their wake up time with their home distant to school."
"How does Binus prepare students not just for exams, but for life and leadership?",Students are prepared for life through Industry-Based Learning experiences and a curriculum that emphasizes 21st-century skills such as research and critical thinking. Leadership is cultivated through Primary Student Council workshops and participation in international leadership summits in Secondary years.,"Binus prioritizes self-management, social skills, and socio-emotional development. The curriculum explicitly includes character building as a core pillar to prepare students for leadership and life beyond exams."
How does Binus help parents understand local education pathways?,"Binus offers a dual curriculum approach, integrating the National Curriculum (Merdeka) alongside Cambridge standards. Counselors provide guidance on local paths, including direct university entry.","Discipline in the Early Years focuses on socialisation, behavior guidance, and routine building to prepare children for formal schooling. Binus emphasizes Socio-Emotional Learning and developing self-management skills as a core part of the curriculum."
What if my kid lose something?,Students are encourage to be responsible and keep save their own belonging.,Toddlers are protected by the constant supervision of Class Teachers and Co-Teachers who stay with them throughout the day. 
When students need to wake up everyday?,"Secondary students timetable start at 7.10, while primary start at 7.45, and EY start at 8.30, students can adjust their wake up time with their home distant to school.","While a specific policy isn't detailed, Binus integrates regular Recess and Lunch breaks into the daily schedule to allow students to recharge. In the Primary years, Class Teachers and Co-Teachers accompany students at all times, which allows for constant monitoring of student well-being."
How does Binus build ethical leadership and integrity?,"Ethical leadership is built into the core curriculum through a persistent focus on Socio-Emotional Learning (SEL), Values Education, and Character Building at all levels. Leadership skills are further cultivated through Primary Student Council workshops and participation in high-level summits such as the International Young Leaders Summit (IYLS) and the Asia-Pacific Young Leaders Summit.","Binus prioritizes self-management, social skills, and socio-emotional development. The curriculum explicitly includes character building as a core pillar to prepare students for leadership and life beyond exams."
Is shalat (prayer) performed during school hours? How is it supervised?,"Yes, Binus has a Mushola facility for prayers. Specific sessions like ""Shalat Yuk!"" and ""Shalat Class"" are offered as electives and supervised by a dedicated Shalat Class Team or facilitators.","we have 5 religion study, moslem students have musola for them to pray"
"How are students assessed—tests, projects, observations?","Students undergo continual assessments, which specifically include performance tests and quizzes. At specific milestones, they may take the Cambridge Primary Checkpoint (Grade 6) or Cambridge AS & A Level Examinations (Grade 12). Additionally, students lead their own progress reviews through Student Led Conferences","In Primary levels, progress is tracked through continual assessments (performance tests and quizzes), school diaries, and newsletters."
What are the stream available for my kids in secondary level?,"There are four major streams available, AP A, AP B, AP C, and AP D stream.","AP A (Pure Science & Advanced Math) stream. This stream is designed for students focusing on engineering, physical sciences, or advanced mathematics. Stream Core Subjects: Chemistry, Physics, and Additional Mathematics. Syllabus Level: Physics and Chemistry follow the IGCSE/AS Level syllabus, while Additional Mathematics progresses to the A Level syllabus."
What is AP B stream?,"AP B (Life Sciences & Business) stream. This stream balances laboratory sciences with an introduction to commercial studies. Stream Core Subjects: Chemistry, Biology, and Business. Syllabus Level: All three core subjects follow the IGCSE and AS Level syllabi.","There are four major streams available, AP A, AP B, AP C, and AP D stream."
Tell me about the International Young Leaders Summit.,"The International Young Leaders Summit (IYLS) is a key experiential learning opportunity for Secondary students, aligning with the school's curriculum focus on Current Affairs and International Issues.","Yes, leadership is cultivated through the Student Council, Primary Student Council workshops, and participation in international summits like the International Young Leaders Summit (IYLS) and the Asia-Pacific Young Leaders Summit."
Are leadership programs available for students?,"Yes, leadership is cultivated through the Student Council, Primary Student Council workshops, and participation in international summits like the International Young Leaders Summit (IYLS) and the Asia-Pacific Young Leaders Summit.",Students are prepared for life through Industry-Based Learning experiences and a curriculum that emphasizes 21st-century skills such as research and critical thinking. Leadership is cultivated through Primary Student Council workshops and participation in international leadership summits in Secondary years.
What commitments does Binus expect from parents?,"Parents are expected to monitor student progress through a school diary and access MS Teams to follow up on assignments. For young children, Binus expects communication and collaboration during the adaptation period. Parents also coordinate among themselves for catering/lunch arrangements.","Binus holds Parent and Student Orientation Days at the start of the academic year. For early childhood levels, parents are allowed to accompany their child during the first two weeks of adaptation."
How does Binus support toddlers experiencing major environmental change?,The EY1 level is specifically designed to focus on socialization and readiness for Binus routine. Class sizes are capped at 24 students to ensure personalized attention.,"Binus provides a two-week adaptation period where parents can be present, and Guidance Counselors are available to provide support if a child is struggling to adapt."
"What is Binus’s vision and mission, and how are these reflected in daily practice?","The overarching theme is ""Fostering and Empowering Society in Building and Serving the Nation"". This is reflected in daily practice through a strong focus on character building and preparing students with 21st-century skills like critical thinking and research","Binus provides facilities such as sheltered walkways and ramp access for safe and orderly movement. The daily schedule also includes structured ""Circle Time"" and ""CARE Sessions"" to help students focus."
Can my child drive her/his own vehicle to school?,Students are not allowed to drive by themselves to school although they have the license.,Students are not allowed to bring any toys to school unless under teachers's instruction as part of the lesson.
How do children learn responsibility naturally?,"Children learn responsibility through a curriculum focus on self-management skills. In the Early Years, independence is encouraged naturally through routines like toilet training, where students are expected to become independent and express their needs.","Responsibility is fostered through a focus on self-management skills and Industry-Based Learning experiences at the Secondary level. In the Early Years, independence is encouraged through practical routines like toilet training."
How my kid take a shower after Swimming Lesson?,There will teacher and helper to help EY students taking a shower after swimming lesson.,Swimming lesson available for EY to Secondary level students with some adjustment in schedule and procedure led by PE Teachers and under supervision the Principal.
What is AP D stream?,"AP D (Commerce & Economics) stream. This stream is tailored for students interested in finance, accounting, and economic theory. Stream Core Subjects: Business, Accountings, and Economics. Syllabus Level: All core subjects in this stream follow the IGCSE and AS Level syllabi.","There are four major streams available, AP A, AP B, AP C, and AP D stream."
What is the indoor discovery area for younger students?,"Like the outdoor version provided for Early Years students (which includes tools for sensory play and exploration), the indoor discovery area provides a controlled environment for children to develop social and self-management skills through hands-on activities.",Students can use playground during recess and PE.
What subject in grade 10?,"all Grade 10 students take the following subjects: Chinese Language, ICT, Music, Visual Arts, Physical Education,  PABP (Religion) and PPKN (Civics), Bahasa Indonesia (KN), English Language (IGCSE-EFL), and Mathematics (IGCSE)","Core Subjects: Students study English Language, Mathematics, Science, Music, Visual Arts, Physical Education, Pendidikan Pancasila, Bahasa Indonesia, and Religion (Agama)"
How does Binus ensure smooth developmental transitions year to year?,"Transitions are supported through specific programs: EY1 serves as a transition period to introduce routines, socialization, and school readiness. For older students, Binus conducts Transition Programmes for Grades 7 and 10, as well as a Transition Camp specifically for Grade 6.","Binus holds Parent and Student Orientation Days at the start of the academic year. For early childhood levels, parents are allowed to accompany their child during the first two weeks of adaptation."
"How does Binus ensure consistency of values across Early Years, Primary, and Secondary levels?","Consistency is maintained by making Socio-Emotional Learning and Character Building core curriculum pillars from EY through Grade 12. Additionally, subjects like Agama (Religion) and Pendidikan Pancasila are taught consistently across all three levels to reinforce shared values.","Binus ensures consistency by following structured Cambridge International and National Curricula across all levels. Additionally, there is a uniformity admission test for the Secondary level to ensure students enter with a consistent baseline. Class sizes are also capped (maximum 24 students for Primary and 28 for Secondary) to maintain standards."
How do teachers help children develop early self-regulation?,"Teachers help develop self-management skills as a primary curriculum focus. This includes practical independence milestones, such as toilet training in EY1, where students are encouraged to express their needs and become more independent.",The Early Childhood curriculum explicitly focuses on developing social skills. Guidance Counselors and teachers are available to assist with the settling-in process.
How does Binus ensure our children do not feel isolated as newcomers?,The Early Childhood curriculum explicitly focuses on developing social skills. Guidance Counselors and teachers are available to assist with the settling-in process.,"Binus holds Parent and Student Orientation Days at the start of the academic year. For early childhood levels, parents are allowed to accompany their child during the first two weeks of adaptation."
What religion lessons in BINUS?,"In Binus we have Islamic studies, Buddhism, Catholicism, Christianity, and Hinduism.","Binus respects diversity by offering PABP (Religious Education) subjects for five different religions: Islam, Catholicism, Christianity, Buddhism, and Hinduism. Binus community collectively celebrates religious milestones, including Christmas, Kathina Puja, Ramadan (Buka Puasa Bersama), and Hari Raya Galungan."
How does Binus teach responsible use of technology and media?,"Binus includes ICT (Information and Communication Technology) as a core subject in the Lower Secondary curriculum. Furthermore, the Upper Secondary curriculum places a strong emphasis on current affairs and international issues, which involves engaging with various media sources.","Binus fosters harmony through multiple communication channels, including MS Teams for tracking assignments, school diaries for progress monitoring, and regular newsletters. Additionally, it facilitates structured interactions such as Parent Teacher Conferences (PTC) and Student Led Conferences, while Binus management and marketing teams discuss and address parental concerns brought forward by the Advisory Committee of Parents (ACOP)."
What language support is available for students who are still adapting?,"For students who find Bahasa Indonesia or study habits challenging, Binus may suggest taking extra courses. In EY1, children are initially expected only to ""listen and understand"" instructions rather than speak fluently.","English is the primary medium of instruction. Students are encouraged to use English daily, though expectations are lower for the youngest learners in EY1."
What safety measures are in place for toddlers?,Toddlers are protected by the constant supervision of Class Teachers and Co-Teachers who stay with them throughout the day. ,"Safety is maintained through orderly infrastructure such as sheltered walkways and ramp access, as well as teacher supervision. "
How does Binus prepare students for adult responsibility?,"Students are prepared for adulthood through leadership workshops, community service through the Student Council, and a curriculum designed to give them a competitive edge in the global job market.","Binus prioritizes self-management, social skills, and socio-emotional development. The curriculum explicitly includes character building as a core pillar to prepare students for leadership and life beyond exams."
How do children learn to respect differences?,"Respect for differences is fostered through a curriculum that prioritises Socio-Emotional Learning, SPIRIT Values, and Character Building at all levels. Students in Primary years are taught an awareness and appreciation of local language and culture, while religion education (PABP) for five religions begins as early as EY1. Secondary students build on this foundation through a strong emphasis on current affairs and international issues.","Children are nurtured to become individuals who possess a love for life-long learning and are equipped with 21st-century skills such as research and critical thinking. They are expected to develop strong self-management and social skills, alongside a foundation of values and character built through socio-emotional learning."
Is there science lab for primary students?,There is science lab for primary students. They use the lab during science lesson.,"For secondary, there are some science lab: General science lab, Biology lab, physics lab, and chemistry lab."
"My kids is twin, can they be separated?",Twins students can be separated however it depends on how many classes in the level she/he enrolled to.,"If a child requires extra support during their adaptation period, parents are asked to collaborate closely with Binus, which may include being present for the first two weeks and receiving assistance from Guidance Counselors."
What accreditations or certifications does Binus hold (national/international)?,Binus is a Cambridge International School. Accreditated B as Nasional.,"Binus ensures consistency by following structured Cambridge International and National Curricula across all levels. Additionally, there is a uniformity admission test for the Secondary level to ensure students enter with a consistent baseline. Class sizes are also capped (maximum 24 students for Primary and 28 for Secondary) to maintain standards."
How do teachers encourage effort without forcing competition?,"While students are recognized for achievements, such as in the TOPAZ Olympiad, the broader curriculum focus remains on Values Education, Character Building, and Socio-Emotional Learning to encourage personal growth.","High-achieving students are recognized through ""Moving Up & Recognition"" ceremonies. They are also encouraged to participate in external competitions like the TOPAZ Olympiad or the Bahasa Indonesia Writing Competition."
What curriculum is used at the primary level?,"The Primary level uses the Cambridge International Curriculum and the Kurikulum Merdeka. Students can also take the Cambridge Primary Checkpoint in Grade 6 to assess their standing in English, Math, and Science.","The Early Years curriculum is inquiry and activity-based. It focuses on transitioning children into a school environment through socialization, routine building, and developing self-management and social skills."
Bagaimana cara BINUS mengajarkan fokus pada anak kecil mengingat saat ini konsentrasi anak mudah terganggu?,Focus is built through daily Circle Time and scheduled CARE Sessions.,Binus implements a blend of the Cambridge International Curriculum and the Indonesian National Curriculum (Merdeka).
How does Binus respect different spiritual or philosophical backgrounds?,"Binus respects diversity by offering PABP (Religious Education) subjects for five different religions: Islam, Catholicism, Christianity, Buddhism, and Hinduism. Binus community collectively celebrates religious milestones, including Christmas, Kathina Puja, Ramadan (Buka Puasa Bersama), and Hari Raya Galungan.","In Binus we have Islamic studies, Buddhism, Catholicism, Christianity, and Hinduism."
"How do you build trust between school, child, and parents?","Trust is established through trial classes observed by psychologists to ensure a child's readiness before enrollment. Binus further strengthens this bond by involving parents in Student Led Conferences, providing transparency through continual assessments, and encouraging parents to monitor school diaries and MS Teams","Warm relationships are fostered by the constant presence of Class Teachers and Co-Teachers, who stay with their students throughout the entire school day"
Is there any extra lesson for student who to study overseas?,"For students specifically interested in studying abroad, teachers provide extra classes to help them prepare specifically for the Cambridge A-Level Exam","Yes, we had some fielt trip program to some countries like China, Vietnam, and other countries depend on the curriculum or affective topics that the students are learning at that moment with their teachers."
Can my kid use white color shoes?,"Black shoes is part of school uniform, students may wear color sport shoes during PE and change to black after that.",Students are not allowed to bring any toys to school unless under teachers's instruction as part of the lesson.
Are meals/snacks provided? Are they halal?,"Cafeteria provides halal meals for students to be purchased, however for EYP students, we encourage them to bring it from home",Students can purchase meals from cafeteria or bring from home.
How does Binus support identity development during early adolescence?,"The secondary curriculum explicitly focuses on Socio-Emotional Learning (SEL), Values Education, and Character Building. Students also participate in global platforms like the International Young Leaders Summit (IYLS) and the Asia-Pacific Young Leaders Summit, which encourage them to develop their leadership identity.","Binus holds Parent and Student Orientation Days at the start of the academic year. For early childhood levels, parents are allowed to accompany their child during the first two weeks of adaptation."
What specific subjects are included in the Cambridge Primary Checkpoint examinations for Grade 6 students?,"The Grade 6 Checkpoint exams include Mathematics, English Language, and Science","Students undergo continual assessments, which specifically include performance tests and quizzes. At specific milestones, they may take the Cambridge Primary Checkpoint (Grade 6) or Cambridge AS & A Level Examinations (Grade 12). Additionally, students lead their own progress reviews through Student Led Conferences"
How does Binus help children adjust to a new culture and social norms?,The curriculum includes Awareness and Appreciation of Local Language & Culture. Cultural appreciation is also fostered through activities like National Culture Week (Pekan Budaya Nusantara) and celebrations of various religious holidays.,"Discipline in the Early Years focuses on socialisation, behavior guidance, and routine building to prepare children for formal schooling. Binus emphasizes Socio-Emotional Learning and developing self-management skills as a core part of the curriculum."
How does Binus ensure continuity when students move between levels?,"Continuity is managed through a 6-year direct programme for Secondary students and specific transition initiatives, including the Grade 7 and 10 Transition Programme and the Grade 6 Transition Camp.","Binus uses transitional levels, such as EY1, to focus on socialisation and routine readiness before students enter more formal kindergarten classes. Readiness is prioritised; if a child is not yet prepared for a higher level, Binus may recommend staying in a lower level after a trial class assessment. o prepare Primary students for Secondary, Binus uses the Cambridge Checkpoint to assess where they are currently, ensuring a smooth transition based on their actual standing."
Is students learning python?,Secondary students learning python in IDP Lesson.,"Expression is encouraged from an early age; EY students are taught to express their needs, Primary students lead their own Student Led Conferences, and Secondary students participate in Young Leaders Summits."
